Variable,Locality,Value,Reference,Valid Date,Updated
elec_cost_induction_stove_low,default,1600,Web: Crane's appliances - Fridgidaire Gallery + $300 for cookware,,2019-10-27 11:15
elec_cost_smart_power_strip,default,15,Default value without reference,,2019-11-04 10:56
elec_dryer_average_annual_loads,default,439,Average loads per year: https://neep.org/file/2766/download?token=wn4kylsO,,
elec_dryer_hpwh_energy_factor,default,3.,Typical value for rebate eligible hpwh,,2020-07-25 18:24
elec_dryer_load_kwh,default,3.3,Default value without reference,,2019-10-27 16:03
elec_dryerload_therm_gas,default,0.24,Default value without reference,,2019-10-27 16:09
elec_electricity_monitor_average_savings,default,0.1,Default value without reference,,2019-11-03 20:43
elec_electricity_monitor_cost,default,400,Default value without reference,,2019-11-03 20:43
elec_energyhog_kwh_per_load,default,1.31625,EPA site: 25% more than energystar,,2019-10-26 17:36
elec_energyhog_washer_water_use,default,20,Gallons per load: https://www.energystar.gov/products/appliances/clothes_washers,,2019-10-26 16:57
elec_energystar_elec_per_load,default,1.053,2019: https://www.energystar.gov/products/appliances/clothes_washers,,2019-10-26 17:36
elec_energystar_fridge_cost_low,default,750,"Frigidaire 18cf top freezer, Crane's appliance online",,2019-10-26 10:59
elec_energystar_refrig_kwh_usage,default,404,"Frigidaire FFTR1821TB 18cf top freezer, product spec",,2019-10-26 11:09
elec_energystar_washer_cost_low,default,700,Samsung 4.2 cf - Crane's Appliances 2019,,2019-10-26 18:06
elec_energystar_washer_elec_saved_frac,default,0.25,https://www.energystar.gov/products/appliances/clothes_washers,,2019-10-26 17:26
elec_energystar_washer_water_saved_frac,default,0.33,https://www.energystar.gov/products/appliances/clothes_washers,,2019-10-26 17:26
elec_energystar_washer_water_use,default,14,Gallons per load: https://www.energystar.gov/products/appliances/clothes_washers,,2019-10-26 16:57
elec_kwh_savings_smart_power_strips,default,28.2,assume set-top-box digital cable plus DVD player https://standby.lbl.gov/data/summary-table/,,2019-11-04 10:56
elec_lbs_co2_per_kwh,default,0.682,"ISO-NE average, 2017 from their report",,2019-11-02 01:23
elec_monthly_fixed_charge,default,7,Default value without reference,,2019-11-02 01:23
elec_price_per_kwh,ConcordMA,0.148,BHN CMLP Utility Bill Sep 2019,,2019-11-02 01:23
elec_price_per_kwh,default,0.2209,Default value without reference,,2019-11-02 01:23
elec_pstat_fractional_savings,default,0.15,Default value without reference,,2019-11-02 01:30
elec_refrig_annual_kwh_age0-10,default,440,"Cooler Concord fair, needs reference",,2019-10-26 12:01
elec_refrig_annual_kwh_age10-15,default,651,"Cooler Concord fair, needs reference",,2019-10-26 12:02
elec_refrig_annual_kwh_age15-20,default,1031,"Cooler Concord fair, needs reference",,2019-10-26 12:03
elec_refrig_annual_kwh_age20+,default,1539,"Cooler Concord fair, needs reference",,2019-10-26 12:04
elec_renewable_additional_kwh_cost,default,0.038,Default value without reference,,2019-11-02 01:23
elec_typical_monthly_bill,default,150,Default value without reference,,2019-11-02 01:23
elec_washer_average_annual_loads,default,300,Average loads per year: https://www.energystar.gov/products/appliances/clothes_washers,,2019-10-26 17:00
elec_washer_water_heated_fraction,default,0.5,"Assuming hot water wash, cold water rinse 50% each",,2019-10-26 17:00
flights_default_annual_family,default,12,Default value without reference,,2019-11-03 14:35
flights_default_co2,default,2288,Default value without reference,,2019-11-03 14:36
flights_default_cost,default,500,Default value without reference,,2019-11-03 14:36
flights_default_offset_cost_per_ton,default,12,Default value without reference,,2019-11-03 14:40
food_meat_co2_serving,default,4.75,Default value without reference,,2019-11-03 14:25
food_vegetarian_co2_serving,default,0.88,Default value without reference,,2019-11-03 14:25
fueloil_co2_per_gallon,default,22.4,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,2019-11-02 01:30
fueloil_price_per_gallon,default,2.92,Default value without reference,,2019-11-02 01:30
gasoline_co2_per_gal,default,17.68,# http://www.patagoniaalliance.org/wp-content/uploads/2014/08/How-much-carbon-dioxide-is-produced-by-burning-gasoline-and-diesel-fuel-FAQ-U.S.-Energy-Information-Administration-EIA.pdf,,2019-11-03 13:07
gasoline_price,default,2.7,Default value without reference,,2019-11-03 16:58
general_decent_home_investment_payback,default,10,Default value without reference,,2019-11-04 13:08
general_household_size_default,default,4,Default value without reference,,2019-11-03 14:25
heating_ashp_fed_tax_credit,default,0,Default value without reference,,2019-11-02 21:29
heating_ashp_utility_rebate,default,2500,Default value without reference,,2019-11-02 21:29
heating_assessment_conversion,default,0.1,Assume 20% of coaching inquiries result in heat pumps,,2019-11-02 01:23
heating_default_ashp_efficiency,default,3,Default value without reference,,2019-11-02 13:09
heating_default_ashp_fraction,default,0.8,Default value without reference,,2019-11-02 21:29
heating_default_electric_efficiency,default,1,Default value without reference,,2019-11-02 13:08
heating_default_fueloil_efficiency,default,0.8,Default value without reference,,2019-11-02 01:30
heating_default_gshp_efficiency,default,4.5,Default value without reference,,2019-11-02 22:01
heating_default_gshp_fraction,default,1.0,Default value without reference,,2019-11-02 22:01
heating_default_load_mmbtu,default,114.3,Default value without reference,,2019-11-02 01:30
heating_default_natgas_efficiency,default,0.87,Default value without reference,,2019-11-02 13:00
heating_default_propane_efficiency,default,0.82,Default value without reference,,2019-11-02 13:04
heating_default_wood_efficiency,default,0.7,Default value without reference,,2019-11-02 13:04
heating_fueloil_high_efficiency,default,0.9,Default value without reference,,2019-11-02 14:13
heating_geothermal_fed_tax_credit,default,0.26,Default value without reference,,2019-11-02 22:01
heating_geothermal_utility_rebate,default,5000,Default value without reference,,2019-11-02 22:01
heating_hieff_boiler_fed_tax_credit,default,0,Default value without reference,,2019-11-02 14:13
heating_hieff_boiler_utility_rebate,default,2000,Default value without reference,,2019-11-02 14:13
heating_natgas_high_efficiency,default,0.95,Default value without reference,,2019-11-02 14:15
heating_parasitics_kwh,default,150,Default value without reference,,2019-11-02 01:30
heating_propane_high_efficiency,default,0.95,Default value without reference,,2019-11-02 14:21
heating_standard_ashp_cost,default,15000,Default value without reference,,2019-11-02 21:29
heating_standard_geothermal_cost,default,60000,Default value without reference,,2019-11-02 22:01
heating_standard_hieff_boiler_cost,default,8000,Default value without reference,,2019-11-02 14:13
heating_typical_weatherization_cost,default,500,Default value without reference,,2019-11-02 13:54
heating_wood_high_efficiency,default,0.88,Default value without reference,,2019-11-02 14:20
lawn_average_yearly_mows,default,22,Default value without reference,,2019-11-03 13:10
lawn_blower_gal_per_hour,default,0.5,Default value without reference,,2019-11-03 13:07
lawn_blower_typical_hours,default,10,Default value without reference,,2019-11-03 13:07
lawn_cost_elec_mower,default,400,Default value without reference,,2019-11-03 13:10
lawn_cost_per_mow,default,50,Default value without reference,,2019-11-03 13:30
lawn_default_size,default,4000,Default value without reference,,2019-11-03 13:07
lawn_fertilizer_applications_average,default,4,Default value without reference,,2019-11-03 13:38
lawn_fertilizer_bag_sqft,default,5000,Default value without reference,,2019-11-03 13:38
lawn_fertilizer_nitrogen_concentration,default,0.1,Default value without reference,,2019-11-03 13:38
lawn_fertilzer_bag_size,default,14,Default value without reference,,2019-11-03 13:38
lawn_mow_gas_5000sf,default,0.5,Default value without reference,,2019-11-03 13:10
lawn_mow_kwh_5000sf,default,2,Default value without reference,,2019-11-03 13:10
natgas_ch4_global_warming_potential,default,86,IPCC 2014 report - low end GWP for Natural Gas on 20 yr timescale,,2019-10-27 11:20
natgas_fraction_methane_leakage,default,0.028,survey report from 2015 - 2.8% fugitive emissions,,2019-10-27 11:19
natgas_lbs_co2_per_therm,default,11.7,Standard combustion CO2 for Natural Gas,,2019-10-27 11:18
natgas_price_per_therm,default,1.52,Web: https://www.mass.gov/info-details/household-heating-costs Winter 2018-19,,2019-10-27 10:54
nitrogen_co2_factor,default,0.02,Default value without reference,,2019-11-03 13:38
propane_co2_per_gallon,default,12.7,# https://www.eia.gov/environment/emissions/co2_vol_mass.php,,2019-11-02 13:04
propane_price_per_gallon,default,3.09,Default value without reference,,2019-11-02 13:04
reuse_containers_co2,default,100,Default value without reference,,2019-11-03 14:07
solar_annual_kwh_per_kw,default,1100,Default value without reference,,2019-11-04 13:14
solar_assessment_convertion_fraction,default,0.2,Default value without reference,,2019-11-04 13:14
solar_default_pv_size,default,7,Default value without reference,,2019-11-04 13:14
solar_federal_tax_credit,default,0.26,Default value without reference,,2019-11-04 13:21
solar_hw_federal_tax_credit,default,0.26,Default value without reference,,2019-11-04 13:27
solar_hw_state_rebate,default,1000,Default value without reference,,2019-11-04 13:27
solar_hw_state_tax_credit,default,0,Default value without reference,,2019-11-04 13:27
solar_hw_system_average_cost,default,9000,Default value without reference,,2019-11-04 13:27
solar_hw_utility_rebate,default,0,Default value without reference,,2019-11-04 13:27
solar_local_price_factor,default,1,Default value without reference,,2019-11-04 13:21
solar_pv_kw_cost,default,3500,Default value without reference,,2019-11-04 13:21
solar_srec_payment_per_mwh,default,200,Default value without reference,,2019-11-04 13:21
solar_state_rebate,default,1000,Default value without reference,,2019-11-04 13:21
solar_state_tax_credit,default,0,Default value without reference,,2019-11-04 13:21
solar_utility_rebate,default,3000,Default value without reference,,2019-11-04 13:21
solar_wh_system_fraction,default,0.8,Default value without reference,,2019-11-04 13:26
transportation_public_daily_cost,default,25,Default value without reference,,2019-11-03 20:28
transportation_public_monthly_cost,default,301,Default value without reference,,2019-11-03 20:28
water_heater_electric_efficiency,default,0.9,Default value without reference,,2019-11-04 13:05
water_heater_fueloil_efficiency,default,0.55,Default value without reference,,2019-11-04 13:06
water_heater_heatpump_efficiency,default,2.5,Default value without reference,,2019-11-04 12:59
water_heater_natgas_efficiency,default,0.7,Default value without reference,,2019-11-04 12:59
water_heater_propane_efficiency,default,0.7,Default value without reference,,2019-11-04 13:06
water_heater_settemp,default,120,Default value without reference,,2019-11-04 12:59
water_hpwh_installed_price,default,2500,Default value without reference,,2019-11-04 13:08
water_hpwh_rebate,default,750,Default value without reference,,2019-11-04 13:08
water_hw_assessment_conversion_rate,default,0.2,Default value without reference,,2019-11-04 13:00
water_hw_use_per_person,default,13,Default value without reference,,2019-11-04 12:59
water_input_temp,default,50,Default value without reference,,2019-11-04 12:59
water_kwh_per_MG,default,2000,"CarbonFootprintofWater-RiverNetwork-2009.pdf: For most utilities, energy use from 1250 kWh/MG to 6,500 kWh/MG.1",,2019-10-26 16:52
water_price_per_scf,WaylandMA,0.0729,Web site: https://efc.sog.unc.edu/resource/massachusetts-water-and-wastewater-rates-dashboard,,2019-10-26 15:56
water_price_per_scf,ActonMA,0.0283,Web site: https://efc.sog.unc.edu/resource/massachusetts-water-and-wastewater-rates-dashboard,,2019-10-26 15:58
water_price_per_scf,SudburyMA,0.0425,Web site: https://efc.sog.unc.edu/resource/massachusetts-water-and-wastewater-rates-dashboard,,2019-10-26 15:59
water_price_per_scf,FraminghamMA,0.0654,Web site: https://efc.sog.unc.edu/resource/massachusetts-water-and-wastewater-rates-dashboard,,2019-10-26 15:58
water_price_per_scf,LincolnMA,0.0442,Web site: https://efc.sog.unc.edu/resource/massachusetts-water-and-wastewater-rates-dashboard,,2019-10-26 15:59
water_price_per_scf,default,0.0564,"Concord utility water price, July 2019 bill",,2019-10-26 12:45
water_price_per_scf,ConcordMA,0.0564,"Concord utility water price, July 2019 bill",,2019-10-26 12:46
water_price_per_scf,BedfordMA,0.0559,Web site: https://efc.sog.unc.edu/resource/massachusetts-water-and-wastewater-rates-dashboard,,2019-10-26 16:00
weatherize_fractional_savings,default,0.15,Default value without reference,,2019-11-02 13:54
weatherize_fractional_savings_2,default,0.5,Default value without reference,,2019-11-02 13:59
weatherize_incremental_savings,default,0.05,Default value without reference,,2019-11-02 14:01
wood_btu_per_cord,default,23.7,# https://chimneysweeponline.com/howood.htm,,2019-11-02 13:04
wood_co2_per_mmbtu,default,255.2,#https://futuremetrics.info/wp-content/uploads/2013/07/CO2-from-Wood-and-Coal-Combustion.pdf,,2019-11-02 13:04
wood_price_per_cord,default,320,Default value without reference,,2019-11-02 13:04
